2025-12-20T01:59:35.831530,ls,/,
2025-12-20T01:59:35.831530,cd,/dir1,
2025-12-20T01:59:35.831530,ls,,
2025-12-20T01:59:35.831530,cd,/,
2025-12-20T01:59:35.839772,du,/,
2025-12-20T01:59:35.839772,history,,
2025-12-20T01:59:35.843799,cal,,
2025-12-20T01:59:35.845812,mkdir,/student,
2025-12-20T01:59:35.847568,mkdir,/student/lab5,
2025-12-20T01:59:35.850388,touch,/student/readme.txt,
2025-12-20T01:59:35.852395,touch,/student/lab5/task.py,
2025-12-20T01:59:35.854401,ls,/student,
2025-12-20T01:59:35.856406,ls,/student/lab5,
2025-12-20T01:59:35.856406,vfs-info,,
2025-12-20T01:59:35.858412,mkdir,/student # Ошибка,
